bodyId,type,superclass,class,rootSide,entryNerve,mancType,status
911307,SNpp51,vnc_sensory,mechanosensory_proprioceptive,R,MesoLN,SNpp51,Traced
911942,SNpp41,vnc_sensory,mechanosensory_proprioceptive,L,MesoLN,SNpp41,Traced
912317,SNpp50,vnc_sensory,mechanosensory_proprioceptive,L,ProLN,SNpp50,Traced
912444,SNpp50,vnc_sensory,mechanosensory_proprioceptive,R,MetaLN,SNpp50,Traced
913052,SNpp51,vnc_sensory,mechanosensory_proprioceptive,R,ProLN,SNpp51,Traced
913882,SNpp39,vnc_sensory,mechanosensory_proprioceptive,R,MesoLN,SNpp39,Traced
913886,SNpp39,vnc_sensory,mechanosensory_proprioceptive,R,MesoLN,SNpp39,Traced
914543,SNpp50,vnc_sensory,mechanosensory_proprioceptive,R,MetaLN,SNpp50,Traced
933121,SNpp50,vnc_sensory,mechanosensory_proprioceptive,R,MesoLN,SNpp50,Traced
933556,SNpp39,vnc_sensory,mechanosensory_proprioceptive,R,ProLN,SNpp39,Traced
933699,SNpp51,vnc_sensory,unknown_sensory,L,MetaLN,SNpp51,Traced
935383,SNpp51,vnc_sensory,mechanosensory_proprioceptive,L,ProLN,SNpp51,Traced
935541,SNpp39,vnc_sensory,mechanosensory_proprioceptive,L,ProLN,SNpp39,Traced
936028,SNpp50,vnc_sensory,mechanosensory_proprioceptive,L,MesoLN,SNpp50,Traced
936031,SNpp41,vnc_sensory,mechanosensory_proprioceptive,R,MesoLN,SNpp41,Traced
939462,SNpp50,vnc_sensory,mechanosensory_proprioceptive,L,MetaLN,SNpp50,Traced
1053563856,SNpp50,vnc_sensory,mechanosensory_proprioceptive,L,MesoLN,SNpp50,Traced
1058841949,SNpp50,vnc_sensory,mechanosensory_proprioceptive,L,MetaLN,SNpp50,Traced
1061501467,SNpp51,vnc_sensory,mechanosensory_proprioceptive,L,MesoLN,SNpp51,Traced
